Date,Close/Last,Volume,Open,High,Low
09/02/2025,73.40,6222391,73.34,73.425,73.31
08/29/2025,73.80,7736482,73.82,73.8672,73.76
08/28/2025,73.89,5857310,73.79,73.92,73.7604
08/27/2025,73.80,6053945,73.6573,73.8058,73.5904
08/26/2025,73.73,4648298,73.65,73.7572,73.59
08/25/2025,73.64,5362095,73.63,73.72,73.59
08/22/2025,73.74,5828735,73.50,73.81,73.48
08/21/2025,73.37,5695498,73.44,73.47,73.29
08/20/2025,73.55,5512795,73.49,73.60,73.46
08/19/2025,73.50,5098530,73.44,73.51,73.435
08/18/2025,73.36,6941556,73.47,73.6399,73.305
08/15/2025,73.44,4309079,73.53,73.588,73.39
08/14/2025,73.54,6818486,73.75,73.75,73.49
08/13/2025,73.75,6208874,73.69,73.78,73.67
08/12/2025,73.48,5493957,73.39,73.48,73.325
08/11/2025,73.47,8668285,73.49,73.55,73.44
08/08/2025,73.42,5566313,73.50,73.5075,73.40
08/07/2025,73.58,4193068,73.70,73.70,73.5328
08/06/2025,73.61,8082200,73.565,73.6459,73.34
08/05/2025,73.67,8145334,73.56,73.70,73.54
08/04/2025,73.64,6834381,73.625,73.65,73.50
