Date,Close/Last,Volume,Open,High,Low
09/02/2025,73.40,6222391,73.34,73.425,73.31
08/29/2025,73.80,7736482,73.82,73.8672,73.76
08/28/2025,73.89,5857310,73.79,73.92,73.7604
08/27/2025,73.80,6053945,73.6573,73.8058,73.5904
08/26/2025,73.73,4648298,73.65,73.7572,73.59
08/25/2025,73.64,5362095,73.63,73.72,73.59
08/22/2025,73.74,5828735,73.50,73.81,73.48
08/21/2025,73.37,5695498,73.44,73.47,73.29
08/20/2025,73.55,5512795,73.49,73.60,73.46
08/19/2025,73.50,5098530,73.44,73.51,73.435
08/18/2025,73.36,6941556,73.47,73.6399,73.305
08/15/2025,73.44,4309079,73.53,73.588,73.39
08/14/2025,73.54,6818486,73.75,73.75,73.49
08/13/2025,73.75,6208874,73.69,73.78,73.67
08/12/2025,73.48,5493957,73.39,73.48,73.325
08/11/2025,73.47,8668285,73.49,73.55,73.44
08/08/2025,73.42,5566313,73.50,73.5075,73.40
08/07/2025,73.58,4193068,73.70,73.70,73.5328
08/06/2025,73.61,8082200,73.565,73.6459,73.34
08/05/2025,73.67,8145334,73.56,73.70,73.54
08/04/2025,73.64,6834381,73.625,73.65,73.50
08/01/2025,73.59,10782340,73.50,73.6099,73.38
07/31/2025,73.20,6463220,73.35,73.3599,73.181
07/30/2025,73.19,5554978,73.19,73.345,73.13
07/29/2025,73.38,7397877,73.08,73.39,73.08
07/28/2025,73.00,5806889,73.02,73.0499,72.96
07/25/2025,73.12,4846060,72.95,73.12,72.9301
07/24/2025,72.94,6139228,72.84,73.036,72.824
07/23/2025,73.03,5269778,73.08,73.12,73.00
07/22/2025,73.18,5507318,73.10,73.2375,73.0801
07/21/2025,73.06,5338503,73.10,73.1799,73.04
07/18/2025,72.85,5206946,72.88,72.90,72.81
07/17/2025,72.73,6857436,72.72,72.82,72.68
07/16/2025,72.71,7875150,72.70,72.78,72.52
07/15/2025,72.57,5908535,72.88,72.88,72.5542
07/14/2025,72.79,5624670,72.769,72.8575,72.70
07/11/2025,72.80,4962515,72.89,72.8991,72.77
07/10/2025,73.10,6651307,73.08,73.11,72.97
07/09/2025,73.09,6720579,72.89,73.10,72.89
07/08/2025,72.80,5934155,72.74,72.80,72.70
07/07/2025,72.84,8191017,72.96,73.02,72.79
07/03/2025,73.08,6428422,73.13,73.17,73.04
07/02/2025,73.26,6342298,73.165,73.26,73.14
07/01/2025,73.34,6286664,73.39,73.45,73.23
06/30/2025,73.63,6987010,73.51,73.6667,73.45
06/27/2025,73.34,6928663,73.38,73.5499,73.32
06/26/2025,73.51,5373696,73.37,73.52,73.30
06/25/2025,73.30,5346377,73.19,73.31,73.10
06/24/2025,73.28,8789764,72.99,73.32,72.985
06/23/2025,73.06,5391876,73.05,73.2199,72.98
06/20/2025,72.88,5396818,72.705,72.96,72.6701
06/18/2025,72.83,5176972,72.87,73.02,72.76
06/17/2025,72.79,5123442,72.69,72.82,72.6046
06/16/2025,72.56,6415544,72.65,72.79,72.55
06/13/2025,72.70,5656548,72.81,72.85,72.55
06/12/2025,72.96,5950091,72.90,72.97,72.82
06/11/2025,72.69,8034926,72.59,72.72,72.515
06/10/2025,72.46,9256974,72.51,72.5565,72.38
06/09/2025,72.32,10147550,72.20,72.39,72.20
06/06/2025,72.205,14677580,72.37,72.49,72.19
06/05/2025,72.60,6620778,72.76,72.83,72.58
06/04/2025,72.74,8342999,72.535,72.81,72.51
06/03/2025,72.29,7437016,72.44,72.497,72.26
06/02/2025,72.37,6888040,72.35,72.53,72.24
05/30/2025,72.77,5995815,72.63,72.78,72.54
05/29/2025,72.63,4686425,72.48,72.70,72.48
05/28/2025,72.37,5214663,72.41,72.46,72.29
05/27/2025,72.53,6148892,72.37,72.60,72.32
05/23/2025,72.19,4272707,72.27,72.29,72.09
05/22/2025,72.08,7067214,71.87,72.09,71.7625
05/21/2025,71.88,10880390,72.15,72.20,71.8048
05/20/2025,72.33,5810255,72.30,72.39,72.20
05/19/2025,72.46,5787990,72.17,72.48,72.0635
05/16/2025,72.48,5310023,72.62,72.675,72.45
05/15/2025,72.43,5659031,72.25,72.45,72.17
05/14/2025,72.04,6426742,72.24,72.2899,72.01
05/13/2025,72.29,5610253,72.30,72.425,72.20
05/12/2025,72.32,6983151,72.30,72.45,72.30
05/09/2025,72.57,3730810,72.605,72.74,72.56
05/08/2025,72.51,4283210,72.86,72.92,72.505
05/07/2025,72.90,4358160,72.80,72.9671,72.79
05/06/2025,72.76,6994010,72.56,72.77,72.50
05/05/2025,72.60,7574983,72.63,72.69,72.4825
05/02/2025,72.70,6960790,72.71,72.85,72.605
05/01/2025,73.06,6295350,73.34,73.37,72.95
04/30/2025,73.50,8020986,73.50,73.575,73.3701
04/29/2025,73.55,3790701,73.29,73.56,73.28
04/28/2025,73.36,4685563,73.10,73.3885,73.09
04/25/2025,73.18,4021898,73.09,73.195,73.01
04/24/2025,72.94,3751673,72.80,72.95,72.7537
04/23/2025,72.53,5283133,72.82,73.125,72.50
04/22/2025,72.38,5408208,72.49,72.5299,72.37
04/21/2025,72.25,6092946,72.49,72.635,72.245
04/17/2025,72.65,7613944,72.79,72.8299,72.6003
04/16/2025,72.81,33963340,72.66,72.85,72.5146
04/15/2025,72.61,5667509,72.36,72.735,72.35
04/14/2025,72.43,5409343,72.225,72.525,72.2047
04/11/2025,72.02,7260413,71.69,72.15,71.41
04/10/2025,72.10,8058517,72.42,72.6099,72.06
04/09/2025,72.68,20862040,71.49,72.70,71.4804
04/08/2025,72.51,12629160,72.92,73.05,72.4601
04/07/2025,72.93,14282990,73.65,73.69,72.85
04/04/2025,73.82,12677990,74.20,74.34,73.71
04/03/2025,73.76,7426162,73.76,73.995,73.62
04/02/2025,73.38,5313061,73.61,73.6196,73.18
04/01/2025,73.44,4667878,73.22,73.5768,73.21
03/31/2025,73.45,7106111,73.50,73.56,73.27
03/28/2025,73.32,4850495,73.16,73.35,73.07
03/27/2025,72.90,5568322,72.88,72.92,72.82
03/26/2025,72.93,4881976,73.02,73.0591,72.89
03/25/2025,73.09,6133739,73.00,73.1699,72.99
03/24/2025,73.00,5637341,73.19,73.22,72.98
03/21/2025,73.32,7078526,73.445,73.515,73.30
03/20/2025,73.38,3760920,73.65,73.665,73.354
03/19/2025,73.35,4201613,73.07,73.38,73.00
03/18/2025,73.13,4196326,72.98,73.22,72.97
03/17/2025,73.05,4773287,73.13,73.24,73.012
03/14/2025,72.95,5095057,73.02,73.07,72.945
03/13/2025,73.13,4711554,72.915,73.15,72.765
03/12/2025,72.91,6192986,72.91,73.0556,72.89
03/11/2025,73.06,8359398,73.20,73.425,73.04
03/10/2025,73.34,8166967,73.30,73.47,73.27
03/07/2025,73.00,5036333,73.33,73.37,72.95
03/06/2025,73.08,7196421,73.105,73.20,72.9001
03/05/2025,73.14,7758398,73.30,73.515,73.13
03/04/2025,73.40,7693140,73.61,73.75,73.3232
03/03/2025,73.61,7549672,73.25,73.6299,73.22
02/28/2025,73.66,8363466,73.52,73.685,73.405
02/27/2025,73.35,14908530,73.305,73.415,73.22
02/26/2025,73.44,5825665,73.31,73.48,73.2133
02/25/2025,73.33,4835591,73.11,73.33,73.05
02/24/2025,72.87,5580117,72.70,72.92,72.69
02/21/2025,72.765,4460631,72.535,72.86,72.53
02/20/2025,72.45,6199049,72.46,72.50,72.42
02/19/2025,72.36,4720798,72.285,72.39,72.2149
02/18/2025,72.26,7151704,72.345,72.45,72.25
02/14/2025,72.53,6131695,72.46,72.68,72.46
02/13/2025,72.30,6452940,72.16,72.37,72.07
02/12/2025,71.87,5279616,71.925,71.99,71.75
02/11/2025,72.24,6871183,72.31,72.31,72.18
02/10/2025,72.36,5439533,72.45,72.51,72.32
02/07/2025,72.34,6415636,72.39,72.44,72.2743
02/06/2025,72.56,5722073,72.56,72.65,72.48
02/05/2025,72.64,8981687,72.52,72.76,72.50
02/04/2025,72.27,7296233,72.04,72.29,71.9701
02/03/2025,72.17,7163803,72.23,72.425,72.0616
01/31/2025,72.34,6738335,72.48,72.54,72.20
01/30/2025,72.44,5622434,72.46,72.53,72.38
01/29/2025,72.34,5780349,72.43,72.49,72.17
01/28/2025,72.38,4424518,72.39,72.39,72.21
01/27/2025,72.42,8621175,72.34,72.44,72.26
01/24/2025,72.04,5555722,72.00,72.0943,71.8696
01/23/2025,71.90,7529793,72.00,72.00,71.80
01/22/2025,72.01,6616809,72.15,72.20,71.97
01/21/2025,72.16,8491622,72.21,72.21,72.0725
01/17/2025,71.95,5600397,72.10,72.10,71.91
01/16/2025,71.93,8494105,71.70,72.03,71.64
01/15/2025,71.79,5867884,71.60,71.875,71.60
01/14/2025,71.22,5165979,71.15,71.2452,71.11
01/13/2025,71.17,11856580,71.24,71.25,71.1023
01/10/2025,71.24,9602447,71.74,71.74,71.18
01/08/2025,71.61,5844375,71.48,71.6599,71.4499
01/07/2025,71.53,7875935,71.725,71.765,71.44
01/06/2025,71.78,5375718,71.78,71.88,71.70
01/03/2025,71.85,6857104,71.97,72.063,71.83
01/02/2025,71.94,8055702,72.19,72.19,71.85
12/31/2024,71.91,8724265,72.09,72.17,71.875
12/30/2024,72.03,8054495,71.90,72.0799,71.90
12/27/2024,71.75,9019079,71.89,71.929,71.74
12/26/2024,71.90,8714524,71.63,71.92,71.63
12/24/2024,71.85,4185260,71.6501,71.85,71.62
12/23/2024,71.98,7605461,72.13,72.21,71.9435
12/20/2024,72.21,6696387,72.30,72.405,72.19
12/19/2024,71.99,7672820,72.04,72.12,71.88
12/18/2024,72.19,7962662,72.76,72.82,72.18
12/17/2024,72.76,6084864,72.74,72.84,72.71
12/16/2024,72.75,7871304,72.75,72.889,72.65
12/13/2024,72.67,5171363,72.91,72.91,72.64
12/12/2024,72.96,6880556,73.01,73.21,72.9301
12/11/2024,73.25,4642930,73.59,73.5913,73.2242
12/10/2024,73.41,5751914,73.38,73.4699,73.3246
12/09/2024,73.49,5432983,73.65,73.65,73.47
12/06/2024,73.71,4880791,73.73,73.7902,73.57
12/05/2024,73.51,6146443,73.38,73.56,73.3503
12/04/2024,73.50,6769697,73.20,73.55,73.09
12/03/2024,73.25,6249233,73.53,73.55,73.20
12/02/2024,73.42,6213033,73.29,73.48,73.17
11/29/2024,73.60,3870808,73.50,73.63,73.50
11/27/2024,73.33,5366871,73.21,73.42,73.21
11/26/2024,73.13,5538283,73.18,73.18,72.945
11/25/2024,73.26,10207080,73.01,73.2654,73.01
11/22/2024,72.59,10409500,72.62,72.67,72.52
11/21/2024,72.56,5115656,72.595,72.74,72.50
11/20/2024,72.60,6557788,72.51,72.695,72.5019
11/19/2024,72.68,4900748,72.76,72.78,72.66
11/18/2024,72.55,4965080,72.40,72.61,72.3347
11/15/2024,72.48,18467420,72.34,72.66,72.20
11/14/2024,72.46,6643295,72.60,72.72,72.41
11/13/2024,72.48,5458123,72.92,72.92,72.4137
11/12/2024,72.51,7197886,72.74,72.82,72.4643
11/11/2024,72.95,4371984,73.00,73.00,72.85
11/08/2024,73.09,5398497,72.96,73.24,72.96
11/07/2024,72.95,6590178,72.50,73.025,72.50
11/06/2024,72.41,6382489,72.26,72.5899,72.2303
11/05/2024,73.01,6236861,72.60,73.03,72.60
11/04/2024,72.83,6860229,72.82,73.01,72.7001
11/01/2024,72.54,6409880,73.035,73.08,72.51
10/31/2024,73.05,6115916,72.95,73.159,72.83
10/30/2024,73.06,4610487,73.27,73.43,73.0244
10/29/2024,73.13,5544148,72.90,73.14,72.79
10/28/2024,73.07,4582810,73.235,73.28,72.95
10/25/2024,73.16,4641724,73.48,73.48,73.13
10/24/2024,73.31,6219581,73.28,73.44,73.1701
10/23/2024,73.19,6429430,73.36,73.3689,73.085
10/22/2024,73.37,4632962,73.45,73.49,73.28
10/21/2024,73.34,5259909,73.65,73.65,73.32
10/18/2024,73.84,3930269,73.90,73.9777,73.84
10/17/2024,73.80,4250518,73.99,73.99,73.76
10/16/2024,74.16,7437810,74.14,74.235,74.11
10/15/2024,74.06,4456218,73.99,74.09,73.85
10/14/2024,73.77,3380218,73.60,73.77,73.58
10/11/2024,73.82,8508061,73.83,73.92,73.73
10/10/2024,73.81,4579208,73.785,73.85,73.6245
10/09/2024,73.84,4997940,73.94,73.94,73.80
10/08/2024,74.04,8642430,73.88,74.04,73.82
10/07/2024,73.93,7044161,73.94,74.0176,73.89
10/04/2024,74.15,5227485,74.165,74.295,74.11
10/03/2024,74.64,7733860,74.83,74.85,74.64
10/02/2024,74.97,6902546,74.85,74.9999,74.77
10/01/2024,75.11,6267056,75.13,75.26,75.05
09/30/2024,75.11,5662767,75.25,75.26,75.03
09/27/2024,75.28,3927955,75.23,75.33,75.1536
09/26/2024,75.06,4919731,75.14,75.1688,74.9245
